,year,kind,genre,country,language,rating,vote
0,85,2,6,9,16,7,474
1,76,7,8,9,16,8,18
2,74,1,0,6,33,5,93
3,86,1,6,9,16,5,13432
4,73,1,4,9,16,4,2177
6,70,7,6,9,16,8,81
7,87,7,0,8,16,4,7153
8,72,3,0,9,16,7,2898
9,54,1,1,4,26,6,1818
10,83,3,7,8,16,7,768
11,86,0,2,9,16,7,67
12,83,3,7,9,16,7,901
13,81,0,6,9,16,7,286
14,82,4,2,9,16,7,23785
15,80,7,2,9,16,4,1484
16,75,2,7,8,16,6,1605
17,55,1,0,6,33,7,911
18,85,7,19,9,16,2,120
19,78,2,7,1,20,5,129
20,68,1,4,9,16,5,6778
21,78,1,7,9,16,7,6850
22,75,7,6,9,16,8,102
23,84,1,6,9,16,7,3562
24,85,7,13,0,16,1,210
25,85,1,7,10,46,7,18930
26,78,1,0,9,16,6,94804
27,86,1,4,3,7,4,166
28,86,1,3,8,16,6,35678
29,81,3,6,9,16,7,112
30,67,1,1,9,16,4,2370
31,79,7,9,10,16,5,1550
32,83,4,2,9,16,8,20289
33,76,1,6,9,16,7,481
34,56,1,0,10,48,7,2968
35,81,1,4,10,59,7,2040
36,86,2,2,6,16,8,31414
37,78,1,0,3,39,4,726
38,80,4,2,6,16,7,636
39,81,7,17,9,16,8,57
40,78,7,6,9,16,8,230
41,67,1,4,10,54,6,497
42,82,3,6,9,16,6,76
43,71,1,4,3,7,6,123
44,75,1,17,3,7,6,47
45,86,1,7,1,20,6,2915
46,86,7,6,9,16,8,148
47,75,1,6,1,20,7,322
48,82,7,6,9,16,8,3007
49,70,2,2,6,33,6,1589
50,55,2,16,8,16,8,293
51,86,1,4,10,54,7,3586
53,84,1,7,9,16,5,1397
54,86,7,14,9,16,7,84
55,84,1,7,0,16,5,65498
56,77,1,0,9,16,6,3692
57,67,1,0,3,7,7,3772
58,85,7,13,9,16,2,1662
59,83,1,0,10,54,3,2853
60,81,4,2,6,33,8,8010
61,60,1,4,8,16,5,1382
62,85,1,0,3,39,6,482
63,81,1,0,3,7,5,1534
64,60,1,4,1,20,6,3746
65,87,7,13,0,16,3,299
66,70,1,13,9,16,4,140
67,84,7,6,9,16,7,18
68,53,1,4,10,48,8,11015
69,82,2,1,8,16,7,2912
70,51,0,23,8,16,6,2063
71,85,1,7,0,16,5,1491
72,64,1,4,9,16,7,4040
73,86,1,4,1,20,7,59473
74,78,1,4,2,22,6,1433
75,84,1,6,0,16,8,911
76,83,1,6,9,16,7,2778
77,83,7,14,9,16,8,259
78,85,1,0,9,16,7,527257
79,83,4,2,6,33,6,137
80,87,1,6,8,16,6,21
81,86,3,7,0,16,6,398
82,74,1,6,0,16,7,140
83,83,3,7,9,16,6,317
84,84,1,6,10,16,6,418
85,86,7,6,9,16,7,368
88,75,4,0,9,16,8,56687
89,85,1,6,9,16,7,956
90,64,1,7,10,16,6,6270
92,77,1,7,8,16,6,831
93,63,2,3,8,16,8,288
94,86,3,6,8,16,7,978
95,81,0,5,8,16,7,794
96,78,1,5,9,16,4,1001
97,83,1,4,9,16,8,164
98,85,7,6,8,16,8,371
100,84,1,7,10,44,7,1448
101,3,1,7,9,16,7,9947
102,58,1,6,8,16,7,8088
103,85,7,2,9,16,6,2068
104,79,1,2,6,33,8,46163
105,85,4,1,6,33,6,128
106,81,0,5,8,16,7,899
107,84,7,2,9,16,4,6544
108,81,1,7,4,26,6,5245
109,49,1,7,8,16,7,2436
110,83,4,2,8,16,5,416
111,24,1,2,9,16,6,6167
112,55,1,0,6,33,6,826
113,81,7,0,9,16,5,610
114,73,1,7,10,48,5,413
115,66,1,4,9,16,6,2925
116,80,1,14,8,16,7,91
117,75,1,0,3,7,7,7668
118,79,1,2,6,16,6,67
119,78,3,7,9,16,7,4208
120,87,7,0,9,16,3,502
121,76,1,6,9,16,5,14
122,85,1,4,9,16,7,202
123,80,1,0,10,16,3,271
124,87,7,4,9,16,7,134
125,85,7,6,9,16,7,164
126,82,3,3,9,16,6,641
127,85,3,26,9,16,5,399
128,70,1,7,9,16,7,67057
129,72,7,2,9,16,7,21
130,84,7,14,9,16,6,22
131,56,1,0,8,16,5,4065
132,87,1,4,9,16,6,166
133,79,3,7,9,16,7,594
134,66,1,1,5,32,5,2175
135,86,1,13,6,33,5,470
136,80,3,4,9,16,4,1975
137,86,0,6,7,41,8,219
138,80,1,6,9,16,6,305
139,83,0,6,7,41,7,16
141,78,1,6,8,16,7,1960
142,86,7,0,9,16,5,12532
143,69,4,4,8,16,7,3221
144,86,1,4,10,10,6,1916
145,72,1,1,10,39,6,18
146,75,4,7,9,16,6,10920
147,79,1,4,10,25,6,194
148,63,1,0,10,22,4,1038
149,56,1,7,5,32,4,641
150,72,7,6,9,16,8,180
151,69,1,21,10,41,4,27
152,80,1,4,4,57,6,3424
153,81,1,0,10,16,6,434
154,58,1,7,0,16,7,14259
155,84,1,4,8,16,6,1493
156,75,7,6,8,16,8,191
157,61,4,16,8,16,7,58
158,86,7,6,9,16,4,75
159,66,1,7,1,20,7,1532
160,84,1,0,1,16,5,5850
161,75,3,4,9,16,5,370
162,58,1,7,6,33,6,19667
163,81,1,7,10,45,6,3284
164,83,7,0,9,16,4,1144
165,69,1,7,10,22,8,67916
166,48,1,0,6,33,5,5148
167,80,1,6,9,16,7,809
168,84,7,0,10,16,2,417
169,86,1,6,7,16,6,56
170,80,1,4,9,16,7,973
171,81,1,4,9,16,5,13301
172,82,2,1,8,16,8,18147
173,86,7,8,9,54,7,31
174,84,4,2,6,33,7,4265
175,83,1,2,6,33,7,25554
176,77,0,7,8,16,9,2399
177,85,0,6,7,41,7,22
178,78,1,4,10,54,6,1656
179,84,1,2,6,33,5,385
180,79,1,1,8,16,6,101046
181,85,1,1,9,16,3,1357
182,84,1,3,10,16,7,28156
183,83,1,6,10,25,7,120
184,66,1,6,10,55,7,906
186,82,0,6,7,41,7,67
187,74,4,2,9,16,9,93363
188,87,7,6,9,16,8,121
189,53,1,7,9,41,6,1364
190,80,4,2,6,33,7,186
191,41,4,7,9,41,9,75773
192,67,1,6,8,16,7,23
193,71,4,4,9,16,6,8365
194,85,1,0,9,16,6,466400
195,79,1,2,6,33,8,364432
196,80,1,7,5,16,8,61463
198,79,1,4,9,16,8,868
199,70,1,6,9,16,8,1943
200,84,3,6,8,16,7,165
201,74,2,7,9,16,7,521
202,83,1,7,5,32,7,8963
203,81,3,3,9,16,5,1567
204,82,1,0,4,26,6,6665
205,86,7,14,9,16,8,29
206,85,0,7,9,16,8,114
207,85,1,6,7,41,8,81
208,41,4,7,9,41,9,75773
209,87,7,0,10,16,3,464
210,77,1,4,8,16,6,1958
211,82,7,6,9,16,8,184
212,87,7,0,9,16,2,75
213,51,1,4,8,16,7,8868
214,61,1,6,9,16,7,450
215,85,4,2,6,33,6,76
217,80,1,7,0,16,6,559
218,70,1,4,10,16,5,8667
219,85,3,5,0,16,5,283
221,81,4,20,9,16,7,2029
223,87,7,6,9,16,5,86
224,77,1,4,4,26,7,9557
225,78,0,5,8,16,8,190
226,81,1,4,0,16,6,1777
227,45,1,5,6,33,8,39523
228,84,1,0,1,20,4,1149
229,85,7,6,9,16,8,30
230,79,4,2,6,33,6,37
231,65,1,0,3,7,6,4735
233,41,4,7,9,41,9,75773
234,56,3,7,9,16,7,2000
235,78,1,2,6,33,6,941
236,68,1,3,9,16,6,1739
237,80,1,7,9,16,5,5760
238,77,1,5,1,39,7,5444
239,65,3,7,9,16,7,3019
241,56,1,13,8,16,5,1536
243,25,1,19,9,16,6,596
244,58,4,4,9,16,3,406
245,83,4,4,9,16,6,26259
246,74,7,14,8,16,7,213
247,82,1,0,3,7,5,2477
248,49,1,13,8,16,7,9899
249,87,3,2,9,16,6,184
251,86,7,5,9,16,4,6
252,49,1,9,8,16,6,2702
253,75,1,4,10,16,7,13279
254,62,0,1,8,16,6,361
255,85,4,2,0,16,7,409
256,84,1,4,10,54,6,1615
257,81,1,4,9,16,2,2655
258,53,1,4,10,32,6,2192
259,85,1,2,0,16,6,155
260,75,1,5,4,26,7,27102
261,84,3,6,9,16,7,152
262,84,3,6,9,16,5,354
263,74,2,3,0,16,7,2535
264,72,0,4,9,16,7,449
265,76,3,0,9,16,6,468
266,86,1,7,8,16,7,21534
267,85,7,14,8,16,7,29
268,81,7,21,9,16,5,124
269,59,1,0,10,39,6,232
271,83,1,4,9,16,6,4106
273,84,1,6,9,16,7,2581
274,62,1,0,3,39,4,17
275,85,1,7,9,16,7,33
276,73,1,4,9,16,5,6796
277,82,1,7,3,7,8,136327
278,47,1,4,10,10,7,8157
279,72,7,21,9,16,7,34
280,82,1,4,10,16,6,2176
281,33,1,26,9,16,5,491
282,77,3,20,0,16,5,508
283,76,1,5,10,54,6,1961
284,85,3,6,9,16,6,248
287,74,1,7,9,16,6,41054
288,83,3,2,9,16,7,444
289,60,1,7,9,16,6,18314
291,79,4,2,9,16,8,8294
292,75,1,19,0,16,6,943
293,86,2,6,9,16,7,177
294,80,2,6,9,16,7,71
295,75,4,5,9,16,8,12130
296,69,3,5,8,16,6,152
297,70,3,7,9,16,4,157
298,85,3,0,9,16,6,5187
299,71,1,6,9,16,7,26201
300,76,1,1,10,16,5,2172
301,74,4,2,7,41,8,12573
302,41,1,4,8,16,6,798
303,73,1,4,9,16,6,31473
304,69,1,4,10,16,7,13238
305,74,1,7,1,20,7,9743
306,79,7,6,9,16,7,23
307,81,1,7,9,16,6,1102
308,84,3,0,9,16,5,1046
309,76,1,4,8,31,6,1678
310,80,1,24,3,7,5,337
311,65,1,0,10,39,4,1725
312,78,4,0,7,16,7,320
313,86,3,0,9,16,6,19356
314,60,1,13,9,16,7,243607
315,69,4,0,9,16,8,108089
316,66,4,2,6,33,7,1375
317,83,1,0,9,16,6,49504
318,78,1,0,10,16,5,33285
319,85,1,6,9,16,8,3701
320,40,1,13,8,16,5,3934
321,78,1,6,9,16,7,271
322,80,7,6,9,16,7,24
323,83,1,4,10,16,7,3536
324,79,0,6,9,16,7,115
325,25,1,16,9,16,7,4413
326,86,7,2,9,16,4,264
327,48,1,0,6,33,7,8319
328,54,1,7,1,20,6,1282
329,73,1,5,9,16,7,132759
330,77,1,7,1,20,6,1701
331,82,3,6,9,16,8,80
332,85,0,6,7,41,6,8
334,79,7,17,7,41,7,23
335,41,1,7,8,16,7,3722
336,53,1,13,9,16,3,2021
337,83,3,4,8,16,6,167
338,10,1,19,2,41,7,3417
339,26,1,5,9,16,7,5042
340,42,1,7,1,20,7,29391
341,41,1,4,8,16,7,8598
342,82,0,6,9,16,7,157
343,77,2,2,6,16,6,240
344,41,1,5,8,16,7,2736
345,83,1,6,2,16,7,361
346,87,7,0,9,16,2,440
347,65,1,6,9,16,8,3524
348,80,0,8,0,16,5,529
349,86,4,0,0,16,8,63182
350,76,1,0,3,7,5,296
351,85,1,6,9,16,7,9346
352,68,1,6,9,16,5,147
353,76,7,6,0,16,6,41
354,74,1,6,9,16,7,1135
355,81,1,4,8,16,7,23026
356,83,1,4,10,54,7,6262
357,81,3,6,9,16,7,116
358,86,1,7,8,16,6,10247
359,83,7,14,9,16,6,23
360,76,1,7,1,20,6,1079
361,84,1,6,9,16,7,1086
362,73,1,0,10,39,4,1143
363,66,3,13,9,16,5,1531
364,82,1,13,0,16,4,1381
365,85,7,6,10,16,8,803
366,87,3,6,9,16,8,307
367,85,1,4,3,7,4,306
368,66,2,7,8,16,8,2066
369,36,1,0,6,33,8,328689
370,87,7,6,9,16,8,54
371,80,1,7,4,26,7,3101
372,83,4,2,6,33,7,104
373,81,1,3,8,16,6,350
374,76,0,0,8,16,7,2648
375,81,1,4,9,16,6,6232
376,78,1,14,9,16,7,39
377,73,1,7,10,16,6,198
378,85,3,7,9,16,6,459
380,85,7,14,9,16,8,87
381,57,1,1,10,48,8,25171
382,76,1,4,10,39,7,19853
383,33,1,7,1,20,7,10756
384,61,1,13,1,20,6,2738
385,76,4,2,9,16,8,15366
386,72,3,5,9,16,5,3828
387,84,7,17,8,16,6,9
388,78,7,6,9,16,7,239
389,85,7,14,9,16,8,15
390,84,1,6,9,16,6,6801
391,82,1,0,6,33,6,862
392,49,4,0,6,16,7,518
393,62,1,4,10,22,6,1586
394,81,4,4,9,16,7,11
395,73,3,7,9,16,6,415
396,84,1,6,9,16,6,670
397,86,0,2,7,41,8,32
398,83,2,2,6,33,7,1382
399,74,3,1,8,16,6,544
400,85,0,5,8,16,7,638
401,81,1,4,5,16,4,957
402,86,1,4,9,16,8,8173
403,84,1,0,4,26,3,2450
404,80,1,14,0,41,6,19
405,83,0,6,9,16,8,98
406,85,1,7,8,16,6,7375
407,79,1,6,9,16,7,856
408,78,1,0,3,7,6,1021
409,86,1,0,4,26,7,33925
410,75,3,4,9,16,7,890
411,86,1,4,3,7,6,902
412,84,1,6,9,16,7,633
413,85,7,14,9,16,7,48
414,76,1,6,9,41,7,61
415,82,1,5,10,54,6,3887
416,82,1,7,10,39,8,22512
417,72,1,0,3,7,7,1116
418,71,1,4,9,16,5,2190
419,83,1,4,4,26,8,69667
420,60,3,4,9,16,5,1708
421,83,1,2,9,16,4,17398
422,43,1,0,6,33,8,117088
423,84,1,6,9,16,7,259
424,83,4,7,8,16,7,278
425,83,7,6,9,16,7,76
426,77,1,0,10,56,4,65
427,78,3,7,9,16,6,549
428,79,1,4,4,26,6,2335
429,72,7,2,9,16,7,21
430,87,7,2,9,16,6,382
431,75,4,7,9,16,6,10920
432,45,1,7,1,20,7,6782
433,83,2,7,10,16,4,381
434,78,7,8,9,16,6,338
435,86,1,7,3,7,5,4790
436,83,7,6,9,16,7,38
437,56,1,6,9,16,8,99
438,82,0,5,8,16,7,1979
439,81,1,4,1,20,6,586
440,81,7,6,9,41,6,87
441,60,1,1,9,16,4,13259
442,82,2,2,6,41,7,887
443,79,1,7,8,16,7,7885
444,85,1,8,9,16,6,42
445,80,7,8,9,16,7,126
446,77,3,4,10,16,7,5938
447,70,1,4,9,16,6,4661
448,81,1,3,2,22,7,6392
449,79,1,6,9,16,6,1860
450,79,4,6,9,16,8,19
451,67,1,2,6,33,5,183
452,59,1,7,8,16,7,22334
453,71,0,1,8,16,7,412
454,54,1,4,9,16,7,25655
455,85,1,0,9,16,6,466405
456,60,1,0,9,16,7,166692
457,38,1,0,9,16,6,7433
458,80,1,13,6,33,7,66500
459,85,0,5,8,16,7,294
460,73,3,26,9,16,6,374
461,84,3,7,9,16,6,3218
462,80,3,7,9,16,4,328
463,83,2,2,8,16,8,2790
464,85,1,6,9,16,7,632
465,62,4,7,8,16,7,1742
466,82,7,2,9,16,6,3063
467,62,1,0,10,39,6,104
468,86,1,5,9,16,4,278
469,48,1,7,5,3,8,56717
470,65,1,4,1,1,7,6384
471,58,1,1,8,16,7,2668
472,80,7,20,9,16,3,305
473,54,1,7,10,55,8,32275
474,80,4,2,6,41,7,178
475,75,1,3,10,16,5,602
476,62,1,4,10,48,8,12159
477,86,7,6,10,16,6,33
478,63,1,1,0,41,7,21605
479,83,1,4,0,16,4,1200
480,86,1,6,9,16,7,928
481,80,7,13,8,16,6,114
482,73,1,3,9,16,6,4939
483,75,1,5,8,16,6,13674
484,87,2,7,9,16,7,5577
